install_date,purchase_date,source,revenue
3/1/15,3/1/15,facebook,600
3/1/15,3/2/15,facebook,550
3/1/15,3/3/15,facebook,500
3/1/15,3/4/15,facebook,450
3/1/15,3/5/15,facebook,400
3/1/15,3/6/15,facebook,350
3/1/15,3/7/15,facebook,300
3/1/15,3/8/15,facebook,250
3/1/15,3/9/15,facebook,200
3/1/15,3/10/15,facebook,150
3/1/15,3/11/15,facebook,100
3/1/15,3/12/15,facebook,90
3/1/15,3/13/15,facebook,80
3/1/15,3/14/15,facebook,70
3/1/15,3/15/15,facebook,60
3/1/15,3/16/15,facebook,50
3/1/15,3/1/15,twitter,100
3/1/15,3/2/15,twitter,95
3/1/15,3/3/15,twitter,90
3/1/15,3/4/15,twitter,85
3/1/15,3/5/15,twitter,80
3/1/15,3/6/15,twitter,75
3/1/15,3/7/15,twitter,70
3/1/15,3/8/15,twitter,65
3/1/15,3/9/15,twitter,60
3/1/15,3/10/15,twitter,55
3/1/15,3/11/15,twitter,50
3/1/15,3/12/15,twitter,48
3/1/15,3/13/15,twitter,46
3/1/15,3/14/15,twitter,44
3/1/15,3/15/15,twitter,42
3/1/15,3/16/15,twitter,40
3/2/15,3/2/15,facebook,800
3/2/15,3/3/15,facebook,700
3/2/15,3/4/15,facebook,600
3/2/15,3/5/15,facebook,500
3/2/15,3/6/15,facebook,400
3/2/15,3/7/15,facebook,300
3/2/15,3/8/15,facebook,250
3/2/15,3/9/15,facebook,200
3/2/15,3/10/15,facebook,180
3/2/15,3/11/15,facebook,160
3/2/15,3/12/15,facebook,140
3/2/15,3/13/15,facebook,120
3/2/15,3/14/15,facebook,100
3/2/15,3/15/15,facebook,80
3/2/15,3/16/15,facebook,60
3/2/15,3/2/15,twitter,500
3/2/15,3/3/15,twitter,500
3/2/15,3/4/15,twitter,500
3/2/15,3/5/15,twitter,500
3/2/15,3/6/15,twitter,300
3/2/15,3/7/15,twitter,280
3/2/15,3/8/15,twitter,200
3/2/15,3/9/15,twitter,180
3/2/15,3/10/15,twitter,160
3/2/15,3/11/15,twitter,140
3/2/15,3/12/15,twitter,120
3/2/15,3/13/15,twitter,100
3/2/15,3/14/15,twitter,70
3/2/15,3/15/15,twitter,60
3/2/15,3/16/15,twitter,60
3/3/15,3/3/15,facebook,900
3/3/15,3/4/15,facebook,800
3/3/15,3/5/15,facebook,700
3/3/15,3/6/15,facebook,600
3/3/15,3/7/15,facebook,500
3/3/15,3/8/15,facebook,450
3/3/15,3/9/15,facebook,350
3/3/15,3/10/15,facebook,250
3/3/15,3/11/15,facebook,200
3/3/15,3/12/15,facebook,150
3/3/15,3/13/15,facebook,100
3/3/15,3/14/15,facebook,90
3/3/15,3/15/15,facebook,80
3/3/15,3/16/15,facebook,70
3/3/15,3/3/15,twitter,100
3/3/15,3/4/15,twitter,95
3/3/15,3/5/15,twitter,90
3/3/15,3/6/15,twitter,85
3/3/15,3/7/15,twitter,80
3/3/15,3/8/15,twitter,75
3/3/15,3/9/15,twitter,70
3/3/15,3/10/15,twitter,65
3/3/15,3/11/15,twitter,60
3/3/15,3/12/15,twitter,55
3/3/15,3/13/15,twitter,50
3/3/15,3/14/15,twitter,48
3/3/15,3/15/15,twitter,46
3/3/15,3/16/15,twitter,44
3/4/15,3/4/15,facebook,1200
3/4/15,3/5/15,facebook,1100
3/4/15,3/6/15,facebook,1000
3/4/15,3/7/15,facebook,900
3/4/15,3/8/15,facebook,800
3/4/15,3/9/15,facebook,700
3/4/15,3/10/15,facebook,600
3/4/15,3/11/15,facebook,500
3/4/15,3/12/15,facebook,400
3/4/15,3/13/15,facebook,300
3/4/15,3/14/15,facebook,200
3/4/15,3/15/15,facebook,180
3/4/15,3/16/15,facebook,160
3/4/15,3/4/15,twitter,100
3/4/15,3/5/15,twitter,95
3/4/15,3/6/15,twitter,90
3/4/15,3/7/15,twitter,85
3/4/15,3/8/15,twitter,80
3/4/15,3/9/15,twitter,75
3/4/15,3/10/15,twitter,70
3/4/15,3/11/15,twitter,65
3/4/15,3/12/15,twitter,60
3/4/15,3/13/15,twitter,55
3/4/15,3/14/15,twitter,50
3/4/15,3/15/15,twitter,48
3/4/15,3/16/15,twitter,46
